road,lat,lon,chainage,length,condition,name,model_type,id,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
N2,24.608379751190448,91.62339495608461,184411.2,766.7999999999884,-,,link,11600.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6104969111111,91.6264180296296,185178.0,7.2,A,SYADPUR,bridge,11601.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.61103961661545,91.62728798255671,185185.2,210.79999999998836,-,,link,11602.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6115823221198,91.6281579354838,185396.0,4.0,A,SOYECDPUR,bridge,11603.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.61251564122515,91.63072900217715,185400.0,581.0,-,,link,11604.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6134489603305,91.6333000688705,185981.0,60.4,A,Umarpur Bridge,bridge,11605.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.61320455033765,91.638062796849,186041.4,917.6000000000058,-,,link,11606.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6129601403448,91.6428255248275,186959.0,15.0,A,Chaar Nopul,bridge,11607.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.613517358194002,91.64644436280011,186974.0,741.0,-,,link,11608.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6140745760432,91.6500632007727,187715.0,9.3,A,PATUA ADARSHAW BOX CULVERT,bridge,11609.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.615317869759153,91.65440793017356,187724.3,915.7000000000116,-,,link,11610.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6165611634751,91.6587526595744,188640.0,30.0,A,Aminnagar Bridge,bridge,11611.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.62153023173755,91.66812597978719,188670.0,2222.0,-,,link,11612.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6264993,91.6774993,190892.0,1.0,-,Road to Moulavo Bazar(N207),intersection,11613.0,321.0,669.0,504.0,961.0,36.0,911.0,183.0,621.0,1932.0,386.0,197.0,353.0,6.0,6524.0,556.0,7080.0
N2,24.62768370943395,91.6779678534591,190893.0,297.0,-,,link,11614.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.6288681188679,91.6784364069182,191190.0,282.35,C,SHER PUR,bridge,11615.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.63863797988595,91.68810053648005,191472.35,2700.649999999994,-,,link,11616.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.648407840904,91.6977646660419,194173.0,25.5,A,Katen Bridge,bridge,11617.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.6653050677764,91.7106850370343,194198.5,4684.5,-,,link,11618.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.6822022946488,91.7236054080267,198883.0,3.0,A,SASHARGAT BRIDGE,bridge,11619.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
